2021-09-28 00:14:11.989 +06:00 [INF] Application Starting up
2021-09-28 01:09:09.154 +06:00 [INF] no file to delete
2021-09-28 01:09:09.154 +06:00 [INF] Worker running at: "2021-09-28T01:09:09.1545311+06:00"
2021-09-28 01:09:29.162 +06:00 [INF] no file to delete
2021-09-28 01:09:29.162 +06:00 [INF] Worker running at: "2021-09-28T01:09:29.1629825+06:00"
2021-09-28 01:09:49.179 +06:00 [INF] no file to delete
2021-09-28 01:09:49.180 +06:00 [INF] Worker running at: "2021-09-28T01:09:49.1807546+06:00"
2021-09-28 01:10:09.188 +06:00 [INF] no file to delete
2021-09-28 01:10:09.188 +06:00 [INF] Worker running at: "2021-09-28T01:10:09.1883984+06:00"
2021-09-28 01:10:29.211 +06:00 [INF] no file to delete
2021-09-28 01:10:29.211 +06:00 [INF] Worker running at: "2021-09-28T01:10:29.2117393+06:00"
2021-09-28 01:10:49.226 +06:00 [INF] no file to delete
2021-09-28 01:10:49.226 +06:00 [INF] Worker running at: "2021-09-28T01:10:49.2266689+06:00"
2021-09-28 01:11:09.233 +06:00 [INF] no file to delete
2021-09-28 01:11:09.233 +06:00 [INF] Worker running at: "2021-09-28T01:11:09.2335045+06:00"
2021-09-28 01:11:29.240 +06:00 [INF] no file to delete
2021-09-28 01:11:29.240 +06:00 [INF] Worker running at: "2021-09-28T01:11:29.2404349+06:00"
2021-09-28 01:11:39.544 +06:00 [INF] Application Starting up
2021-09-28 01:11:41.205 +06:00 [INF] no file to delete
2021-09-28 01:11:41.207 +06:00 [INF] Worker running at: "2021-09-28T01:11:41.2067018+06:00"
2021-09-28 01:12:01.231 +06:00 [INF] no file to delete
2021-09-28 01:12:01.231 +06:00 [INF] Worker running at: "2021-09-28T01:12:01.2316824+06:00"
2021-09-28 01:12:21.247 +06:00 [INF] no file to delete
2021-09-28 01:12:21.247 +06:00 [INF] Worker running at: "2021-09-28T01:12:21.2474923+06:00"
2021-09-28 01:12:41.259 +06:00 [INF] no file to delete
2021-09-28 01:12:41.259 +06:00 [INF] Worker running at: "2021-09-28T01:12:41.2591818+06:00"
2021-09-28 01:13:01.274 +06:00 [INF] no file to delete
